,score,params,iteration,recall,accuracy,triggered,spontaneous
834,0.8658086425325333,"{'attractor_size': 64, 'background_activity': 14.232942973025274, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.076615167498693, 'e_i_weight': 6.196118453898176, 'i_e_weight': 11.387048217378561, 'i_frequency': 10.069344183993685, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",834,0.7678453024258892,0.9924242424242424,131,1
1941,0.8656328625181967,"{'attractor_size': 64, 'background_activity': 13.891327417740285, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.6914854856567, 'e_i_weight': 5.932039591457804, 'i_e_weight': 10.27051795306203, 'i_frequency': 10.027906562886265, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1941,0.7683325549481106,0.9911504424778761,112,1
652,0.8645364163569713,"{'attractor_size': 64, 'background_activity': 14.480230482432495, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.527986949725872, 'e_i_weight': 6.628420086248031, 'i_e_weight': 8.174793181714925, 'i_frequency': 12.065008300587051, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",652,0.7613951066428631,1.0,113,0
1605,0.8638553522663253,"{'attractor_size': 64, 'background_activity': 14.21512003483247, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.1587032409221, 'e_i_weight': 5.457720866954653, 'i_e_weight': 10.570560998611699, 'i_frequency': 10.029095168394296, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1605,0.7808110018537419,0.9666666666666667,116,4
1837,0.8630323042541618,"{'attractor_size': 64, 'background_activity': 13.743618552831967, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.57276994096957, 'e_i_weight': 6.85596321908247, 'i_e_weight': 7.91515730424147, 'i_frequency': 10.435143280856918, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1837,0.759064929886176,1.0,111,0
1402,0.8621228709479172,"{'attractor_size': 64, 'background_activity': 15.447382648765657, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.11935364923993, 'e_i_weight': 4.8120624540844785, 'i_e_weight': 13.93828449126902, 'i_frequency': 10.577279959027562, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1402,0.7640914737183345,0.989010989010989,90,1
657,0.8620533846435613,"{'attractor_size': 64, 'background_activity': 15.340489779694549, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.160899053656976, 'e_i_weight': 5.63360710946092, 'i_e_weight': 8.374645445967403, 'i_frequency': 11.551654026636564, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",657,0.806194206596928,0.9262295081967213,113,9
588,0.8612530022303014,"{'attractor_size': 64, 'background_activity': 15.360105746362544, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.631731309870531, 'e_i_weight': 5.326958227035081, 'i_e_weight': 13.002344309738827, 'i_frequency': 11.591147342874157, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",588,0.7609956723909067,0.9919354838709677,123,1
1287,0.8604456267466827,"{'attractor_size': 64, 'background_activity': 14.238120582585225, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.849325033851654, 'e_i_weight': 7.290641088758232, 'i_e_weight': 9.543868120389119, 'i_frequency': 10.920490849087777, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1287,0.7550720237158967,1.0,119,0
1963,0.8595208954813136,"{'attractor_size': 64, 'background_activity': 14.79425864977628, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.44775907407354, 'e_i_weight': 5.567159394725717, 'i_e_weight': 8.13958555100325, 'i_frequency': 10.476606352975768, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1963,0.8225263083639432,0.9,108,12
1674,0.8594802234205974,"{'attractor_size': 64, 'background_activity': 14.005251879334931, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.00752841588374, 'e_i_weight': 6.672087647933424, 'i_e_weight': 8.2800753720813, 'i_frequency': 12.287527112240387, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1674,0.7586912433367589,0.9911504424778761,112,1
1761,0.8594554609747896,"{'attractor_size': 64, 'background_activity': 14.083543677547732, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 15.370054466865316, 'e_i_weight': 6.2985218446430205, 'i_e_weight': 7.754709875836754, 'i_frequency': 11.470574897807237, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1761,0.7651971026487566,0.9801980198019802,99,2
1942,0.8591979720097367,"{'attractor_size': 64, 'background_activity': 14.502002799636285, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.464956373772033, 'e_i_weight': 5.581827763512219, 'i_e_weight': 10.334711385358695, 'i_frequency': 10.631164180494697, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1942,0.7587550964651341,0.9902912621359223,102,1
1016,0.8584599247753215,"{'attractor_size': 64, 'background_activity': 14.433710419746566, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.592842967618012, 'e_i_weight': 5.592947721692291, 'i_e_weight': 12.54102609013924, 'i_frequency': 10.558423738202213, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1016,0.7520190866767065,1.0,110,0
1357,0.8583795740056843,"{'attractor_size': 64, 'background_activity': 15.144671586052223, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.298323270335857, 'e_i_weight': 6.3184329676015345, 'i_e_weight': 9.499314944812763, 'i_frequency': 10.00959414746397, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1357,0.7904158906083327,0.9391304347826087,108,7
849,0.8576793655759294,"{'attractor_size': 64, 'background_activity': 14.036061748877449, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 8.516243115573037, 'e_i_weight': 6.727828849747404, 'i_e_weight': 10.363402237573364, 'i_frequency': 10.540687342436122, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",849,0.7508219143816394,1.0,119,0
1238,0.8569699936342633,"{'attractor_size': 64, 'background_activity': 14.185508205010427, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.678558820478973, 'e_i_weight': 4.803906354616022, 'i_e_weight': 11.815750425457463, 'i_frequency': 10.010500983750479, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1238,0.7497353427833438,1.0,115,0
1351,0.8568416787302178,"{'attractor_size': 64, 'background_activity': 14.866109206981573, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.34587080103944, 'e_i_weight': 5.981843723473361, 'i_e_weight': 12.768324546134403, 'i_frequency': 10.003395524775962, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1351,0.7495389420587575,1.0,115,0
