,e_i_weight,background_activity,i_e_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
29,1.1438131240039824,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7011862345569178,0.5437921020443758,0.9875280338655913,158.66666666666666,2.0,1.14
30,1.1919686447156006,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7248817341317468,0.569886208376278,0.9959523108625258,183.33333333333334,0.6666666666666666,1.19
31,1.2563825606197063,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.722018402683947,0.5708137195728152,0.9841757051316798,167.33333333333334,2.6666666666666665,1.26
32,1.260062821631902,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.715849488189606,0.560151782689795,0.9915315315315315,179.33333333333334,1.6666666666666667,1.26
33,1.3484197064277081,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7232851147973512,0.5716057104188671,0.9848540760713832,166.33333333333334,2.6666666666666665,1.35
34,1.420800555781019,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7245949789710794,0.5714049528093518,0.9901981878600971,170.66666666666666,1.6666666666666667,1.42
35,1.6360513512539463,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7372261363906488,0.5863761457875379,0.9926491300800694,181.0,1.3333333333333333,1.64
36,1.6404219562299003,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7196113801066258,0.5663303470602533,0.9870064532771172,154.66666666666666,2.0,1.64
37,1.6677482086210302,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7122246211568569,0.5578556483130894,0.9851146092239712,160.33333333333334,2.3333333333333335,1.67
38,1.6927426992003363,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7366445399560596,0.5837423935836464,0.9982456140350878,175.0,0.3333333333333333,1.69
39,1.775062488520392,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7251367755550394,0.5703079069172761,0.9955849889624724,166.33333333333334,0.6666666666666666,1.78
40,2.0048950631394122,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7044574074576376,0.5474383386209852,0.9879315362508639,165.33333333333334,2.0,2.00
41,2.104538129644372,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7158089067907469,0.5605782564347931,0.9910563347027436,167.33333333333334,1.6666666666666667,2.10
42,2.117628626783392,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7076087247217998,0.5489092738662101,0.995900924472353,167.0,0.6666666666666666,2.12
43,2.321546462935359,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7177358772996678,0.5626318787594006,0.9922679916864877,166.66666666666666,1.3333333333333333,2.32
44,2.5473723291123207,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6767424236276046,0.5146685940068457,0.9880387252650027,137.33333333333334,1.6666666666666667,2.55
45,2.5651249938192526,14.87767041547699,17.053340759864533,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6765875246648819,0.5126134776314887,0.996031746031746,166.66666666666666,0.6666666666666666,2.57
