,background_activity,i_e_weight,e_i_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
14,12.145775213322523,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6572886259580445,0.4929643432698903,0.9866565988714325,127.66666666666667,1.6666666666666667,12.15
15,12.191595487416222,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6832647053957756,0.5217801355389554,0.9898606745976256,169.33333333333334,1.6666666666666667,12.19
16,12.38666865678848,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6691388198790346,0.5057359209177151,0.9889024042287997,142.33333333333334,1.6666666666666667,12.39
17,12.501188378281991,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6912247298784591,0.5304787044393471,0.9937227915695487,164.0,1.0,12.50
18,12.506720218348338,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6519130551163878,0.4895089505705106,0.9768301034667851,128.66666666666666,3.0,12.51
19,12.529102685844157,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.7118542381165441,0.5557694190632595,0.9899885370515312,190.33333333333334,2.0,12.53
20,12.582114298127241,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6721513743295323,0.5085867486228902,0.9908444292225905,146.33333333333334,1.3333333333333333,12.58
21,12.736989791841836,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6638361949241302,0.5004841517247667,0.9871802765841148,134.33333333333334,1.6666666666666667,12.74
22,12.936226038539578,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6856631477639814,0.5221939689678923,0.9983333333333334,160.33333333333334,0.3333333333333333,12.94
23,13.13214441409333,17.053340759864533,2.5473723291123207,11.777008886327712,19.025346499760037,100.0,1.0,3.0,64.0,256.0,10.0,0.6948573139179964,0.5371875820584863,0.9841032221271742,148.33333333333334,2.3333333333333335,13.13
