,i_frequency,background_activity,i_e_weight,e_i_weight,e_e_max_weight,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous
13,6.483554805221259,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0266688953073728,1.0662868845197833,0.990013049564619,276.6666666666667,2.6666666666666665
14,6.607388851298206,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.033559731433887,1.0738539853117517,0.9964131875736365,281.6666666666667,1.0
15,6.6527225240501355,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0233599806964209,1.0571157811547787,0.9920001684273067,290.3333333333333,2.3333333333333335
16,6.816766063149463,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0262425838994211,1.068876282584823,0.9869094071471891,306.6666666666667,4.0
17,6.917121876331935,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0259334656570545,1.059027171962388,0.9948720462790469,315.3333333333333,1.6666666666666667
18,7.008244082022248,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0280326133329196,1.065624565462805,0.9931451707178928,341.3333333333333,2.3333333333333335
19,7.084529992623086,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0320789839984315,1.0699873798876018,0.9968475565226355,317.6666666666667,1.0
20,7.176880154239699,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0015770599925489,1.0332895210437032,0.9723670030643151,281.0,8.333333333333334
21,7.278639918516079,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0096641848004226,1.0300433201178085,0.990298171512679,281.0,2.6666666666666665
22,7.39772707915303,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0319712302661754,1.0700682877784822,0.9965582941172256,319.3333333333333,1.0
23,7.409199166695012,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0165957230787341,1.0430387579150524,0.9917338515604411,299.6666666666667,2.3333333333333335
24,7.773516913859275,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0206809753889916,1.0460565681125455,0.996514174354076,288.3333333333333,1.0
25,7.835021112935015,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0128205046167347,1.036062075273619,0.9907240453091112,308.0,3.0
26,7.988527367105153,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.011874235439703,1.029257325278136,0.9951985788852035,288.0,1.3333333333333333
27,8.013588597179027,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0043275434776702,1.029039019090664,0.9808184548684354,266.6666666666667,5.333333333333333
28,8.263152521847012,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0154250269135494,1.0392872411286005,0.9927962494906102,313.6666666666667,2.3333333333333335
29,8.361399592396399,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.014784650775109,1.0364282842221744,0.9942272601616602,282.3333333333333,1.6666666666666667
30,8.47766766958698,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0142701255106772,1.034809177047123,0.9946247582337223,284.0,1.6666666666666667
31,8.674379763331066,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0189034302002382,1.0454108983528485,0.9937339395784436,373.3333333333333,2.3333333333333335
32,8.749655555291817,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0118832976902676,1.0361118510686687,0.9889049870367547,336.3333333333333,3.6666666666666665
33,8.769207484995775,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.009294271212178,1.0253792389628982,0.9937259939790305,316.0,2.0
34,9.10492413578161,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.008649337735717,1.0261176020956213,0.9917664390957358,322.3333333333333,2.6666666666666665
35,9.255255381847006,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0047696487069502,1.0150559762838502,0.9947857023869018,303.6666666666667,1.6666666666666667
36,9.290394938663512,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0033931978524497,1.0145376379532347,0.9930607644680288,307.3333333333333,2.3333333333333335
37,9.291734118637534,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0000930087461577,1.004665706620152,0.9956249444043016,308.0,1.3333333333333333
38,9.335799638969277,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.015878939334248,1.0384184048283192,0.9944552983726466,332.0,1.6666666666666667
39,9.366484464796438,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9957656937240329,0.997903698089832,0.9936537559236945,313.3333333333333,2.0
40,9.444874093324346,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9772965250357983,0.9679608526556942,0.9881542589671426,290.3333333333333,3.3333333333333335
41,9.478811367265786,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0100693924876916,1.0301174031929994,0.9908075274404897,294.6666666666667,2.6666666666666665
42,9.649448340898726,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9979800705296155,1.0009222757064442,0.9951663683335238,276.0,1.3333333333333333
43,9.717841971483763,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9949959454865378,0.9953801221583737,0.9946934860163662,322.3333333333333,1.6666666666666667
44,9.756265307596049,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9946256135132535,0.9904722977407316,0.9989177489177489,319.0,0.3333333333333333
45,9.825743766290604,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9948122432346187,0.9979316879813124,0.992169420107709,271.3333333333333,2.0
46,9.836301531948358,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0011218119288052,1.0068639641496269,0.9955744541996797,304.6666666666667,1.3333333333333333
47,10.003928854474928,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9933321119955357,0.9909355499137867,0.9957822204531833,312.3333333333333,1.3333333333333333
48,10.057778533606557,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,1.0053818878929597,1.01677329722852,0.9944396073078993,292.6666666666667,1.6666666666666667
49,10.06770212137721,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9882011564555994,0.9812785603024246,0.9954361565214059,284.3333333333333,1.3333333333333333
50,10.227965476953123,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9987261953006157,1.0002736206261336,0.9976951283394447,309.3333333333333,0.6666666666666666
51,10.305446456094144,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9787303518291534,0.9655232747568566,0.9923985018197237,303.0,2.3333333333333335
52,10.462073525691522,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9900974342521957,0.9842351795460642,0.9963266794275819,290.3333333333333,1.0
53,10.462308908832428,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9786372529070024,0.9661371619368988,0.9926086095983965,290.0,2.0
54,10.536634654026232,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9970384010425005,0.9966425211392353,0.9979101358411704,321.0,0.6666666666666666
55,10.550790783351111,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9845763847828324,0.974337488824593,0.9951238880970689,301.3333333333333,1.3333333333333333
56,10.649776219827752,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9761414620984848,0.9589316896942149,0.994069264069264,284.6666666666667,1.6666666666666667
57,10.792281794598246,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9819440359774182,0.9703226725442766,0.9941060064314465,289.0,1.6666666666666667
58,10.796747831645327,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9930843999157618,0.9922122092736249,0.994169080677921,256.0,1.3333333333333333
59,10.823243462451034,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9920754179878545,0.9889217373636005,0.9956903248716807,300.3333333333333,1.3333333333333333
60,10.953788402426701,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9893498594778035,0.981956101976372,0.9970263823163323,305.3333333333333,1.0
61,11.03059079272225,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9721218617780826,0.9527146694489023,0.9924540456622467,271.3333333333333,2.0
62,11.041966103527885,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9749081731050641,0.95962120511291,0.992303313998058,307.3333333333333,2.3333333333333335
63,11.058237472828914,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9731679203752215,0.9488487594177827,0.9988344988344989,268.6666666666667,0.3333333333333333
64,11.118179024041684,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9594887883825023,0.938421337013667,0.9815876877920674,267.3333333333333,4.666666666666667
65,11.12051231135015,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9648483219002616,0.9378593103456846,0.9935064935064934,232.0,1.0
66,11.14681067308071,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9818206066181792,0.9653917953071893,0.9989837398373984,315.0,0.3333333333333333
67,11.347280362431551,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9774524935748086,0.9625483982708114,0.9936114628801351,298.3333333333333,2.0
68,11.39324840989758,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9705281940321825,0.944126110206727,0.9988700564971751,302.6666666666667,0.3333333333333333
69,11.412980230960326,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9768377560633975,0.9592783351017303,0.9951031170543366,274.6666666666667,1.3333333333333333
70,11.427943622398937,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9840317157698593,0.9716828273150971,0.9967457889119483,308.0,1.0
71,11.537157267765808,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9432680188327854,0.9211245025192745,0.9666276463901003,297.6666666666667,9.333333333333334
72,11.739687172024716,15.095621488966964,5.011403421477593,4.9317965951712415,14.531800821256894,100.0,1.0,4.0,64.0,320.0,10.0,0.9851000569910059,0.975825160963875,0.9946600739829196,272.3333333333333,1.6666666666666667
