Unnamed: 0,score,params,iteration,recall,accuracy,triggered,spontaneous
1299,0.9777187220430306,"{'attractor_size': 64, 'background_activity': 13.626040979344651, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.522282511122409, 'e_i_weight': 4.687550167322838, 'i_e_weight': 5.524918784579337, 'i_frequency': 10.568467680513308, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1299,0.9615607871299415,0.9944289693593314,357,2
1942,0.9761008804928712,"{'attractor_size': 64, 'background_activity': 13.711448228886859, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.965889077751271, 'e_i_weight': 4.723705864459172, 'i_e_weight': 5.581187371075176, 'i_frequency': 10.46093763529565, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1942,0.9558771364250568,0.9971988795518208,356,1
1154,0.9766987388970211,"{'attractor_size': 64, 'background_activity': 15.144975594184515, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.963553939061082, 'e_i_weight': 4.825461605903901, 'i_e_weight': 5.740377161466475, 'i_frequency': 10.000810533664081, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1154,0.958237981475628,0.9958847736625516,242,1
1499,0.9743284677500813,"{'attractor_size': 64, 'background_activity': 14.741004195661764, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.295812072741027, 'e_i_weight': 4.205000280337575, 'i_e_weight': 6.040859168481219, 'i_frequency': 10.006020495035784, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1499,0.94994200103496,1.0,299,0
1475,0.973897984151586,"{'attractor_size': 64, 'background_activity': 15.862004119242798, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.07446234030171, 'e_i_weight': 4.35969536492919, 'i_e_weight': 5.0217695278644525, 'i_frequency': 11.23659033347075, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1475,0.949123936128647,1.0,283,0
1602,0.9751834118470851,"{'attractor_size': 64, 'background_activity': 13.571762932204596, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.79479156936051, 'e_i_weight': 4.794375816454416, 'i_e_weight': 5.516757251515632, 'i_frequency': 10.622447943960124, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1602,0.9538724669304715,0.9974683544303796,394,1
1091,0.9735882985566576,"{'attractor_size': 64, 'background_activity': 13.458799906029025, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.64991783230532, 'e_i_weight': 4.973514644848452, 'i_e_weight': 5.893550360991986, 'i_frequency': 10.004968398497619, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1091,0.94853585280409,1.0,318,0
1781,0.976276269706139,"{'attractor_size': 64, 'background_activity': 15.111435314189132, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.005994278873603, 'e_i_weight': 4.640641214083977, 'i_e_weight': 5.290017986548276, 'i_frequency': 10.622139192106559, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1781,0.9599006256901319,0.9932203389830508,293,2
882,0.9724029088676303,"{'attractor_size': 64, 'background_activity': 13.545964494054497, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.899568224039013, 'e_i_weight': 4.703113403573768, 'i_e_weight': 5.007327269371489, 'i_frequency': 11.11721378796843, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",882,0.9462881096676541,1.0,303,0
1609,0.9740898008306031,"{'attractor_size': 64, 'background_activity': 14.372441866796839, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.867059878111366, 'e_i_weight': 4.414819431393713, 'i_e_weight': 6.154002767161812, 'i_frequency': 10.045672994369456, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1609,0.9523229120779746,0.996875,319,1
1726,0.9740620933988964,"{'attractor_size': 64, 'background_activity': 15.659746538290191, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 7.15508635992388, 'e_i_weight': 4.22675788013528, 'i_e_weight': 6.150209486552867, 'i_frequency': 10.05230149868714, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1726,0.9523430770396913,0.9967948717948718,311,1
