,background_activity,i_e_weight,e_i_weight,e_e_max_weight,i_frequency,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
16,10.63027412962096,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6702876208887658,0.5065701823163327,0.9911854121497727,149.0,1.3333333333333333,10.63
17,11.208169237573333,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6898542276210854,0.5292916135308048,0.9902998236331569,165.33333333333334,1.6666666666666667,11.21
18,11.260359384498386,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.677538991527459,0.5149852243149656,0.990395245992261,140.66666666666666,1.3333333333333333,11.26
19,11.356955762542153,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6730301827888069,0.5107867759577586,0.9866509251834031,173.0,2.3333333333333335,11.36
20,11.401610642193862,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6887995699038555,0.5278346558919284,0.9913185636168893,143.33333333333334,1.3333333333333333,11.40
21,11.449461577211306,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.696140982767742,0.5372555660591964,0.9900289193206527,166.33333333333334,1.6666666666666667,11.45
22,11.527059257254308,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6929017989360672,0.5342965771449127,0.9854348582052568,168.66666666666666,2.3333333333333335,11.53
23,11.62782384421361,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6955715589535849,0.5349308655029092,0.9943121693121694,165.66666666666666,1.0,11.63
24,11.661732645042225,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.684825384785678,0.5250446501719083,0.984430531105723,172.0,2.6666666666666665,11.66
25,11.792092267396086,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6917520922738255,0.530889868843026,0.9926120909011144,135.33333333333334,1.0,11.79
26,12.085815336964684,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.7035711894424433,0.5457360211961498,0.989967745523301,168.0,1.6666666666666667,12.09
27,12.09675153364304,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.7035602255895431,0.5456754831223941,0.9903165608075376,171.33333333333334,1.6666666666666667,12.10
28,12.12923641563587,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6827644037045008,0.5217049732851445,0.9882241810100352,162.0,2.0,12.13
29,12.304626652020803,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6990927281672565,0.5399632967105261,0.991440441756121,152.66666666666666,1.3333333333333333,12.30
30,12.411098290287123,5.302236785709991,4.253159333783978,14.337885250035841,31.841289668071244,100.0,1.0,4.0,64.0,320.0,10.0,0.6949459163469518,0.53540674028426,0.9912734287605872,154.33333333333334,1.3333333333333333,12.41
