,i_frequency,background_activity,i_e_weight,e_i_weight,e_e_max_weight,cue_percentage,cue_length,num_attractors,attractor_size,network_size,num_cues,f1_score,recall,accuracy,triggered,spontaneous,sweeped
13,15.239996958821006,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.7888569683845446,0.6577341731675893,0.9859006734006734,204.33333333333334,2.6666666666666665,15.24
14,15.27982034348884,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.7925746996272293,0.6611560466390096,0.9892191838002602,221.0,2.3333333333333335,15.28
15,15.360224617191356,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.7874041415501027,0.654016005797737,0.9895651541593949,175.66666666666666,2.0,15.36
16,15.563804316314872,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.8007614870550191,0.670165042280107,0.9947371949584339,205.66666666666666,1.0,15.56
17,15.69145758385358,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.7815557839079791,0.644824515460662,0.991883734291425,198.0,1.6666666666666667,15.69
18,16.035105685640033,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.7644487175302465,0.6214221908543963,0.9931366476801416,193.0,1.3333333333333333,16.04
19,16.26837600484043,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.759891264590005,0.6162091512342522,0.9913388640942821,194.0,1.6666666666666667,16.27
20,16.378332488538422,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.7494362382940308,0.6024163786744029,0.9924386898717185,178.0,1.3333333333333333,16.38
21,16.55105825688973,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.7715440226689833,0.6312851659893578,0.9919322148213441,202.0,1.6666666666666667,16.55
22,16.729875784717766,14.87767041547699,17.053340759864533,2.5473723291123207,11.777008886327712,100.0,1.0,3.0,64.0,256.0,10.0,0.7533325463687577,0.6081405373427101,0.9906044415067475,175.33333333333334,1.6666666666666667,16.73
