,score,params,iteration,recall,accuracy,triggered,spontaneous
1200,0.993287316386869,"{'attractor_size': 64, 'background_activity': 16.996663928407532, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.390355116055666, 'e_i_weight': 2.1035242288791736, 'i_e_weight': 17.687214458122625, 'i_frequency': 17.862252097783443, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1200,0.9996419264936155,0.987012987012987,152,2
1377,0.9932194143724459,"{'attractor_size': 64, 'background_activity': 15.723369884654927, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.625095748380136, 'e_i_weight': 2.6086552671972765, 'i_e_weight': 17.663249500242937, 'i_frequency': 17.520372602136856, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1377,0.9865301621339319,1.0,167,0
802,0.9931067660026609,"{'attractor_size': 64, 'background_activity': 11.192273021968216, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.129898584625824, 'e_i_weight': 1.1384670671431247, 'i_e_weight': 18.65369842296088, 'i_frequency': 17.219446177209868, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",802,0.9963353993459373,0.98989898989899,98,1
1307,0.9928764445044023,"{'attractor_size': 64, 'background_activity': 10.684700903321067, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.442200169280206, 'e_i_weight': 2.4723142273506364, 'i_e_weight': 17.98730216763365, 'i_frequency': 18.132916984772834, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1307,0.9989850352989882,0.9868421052631579,150,2
1596,0.9928341285654927,"{'attractor_size': 64, 'background_activity': 11.875597616275662, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.99659430193174, 'e_i_weight': 5.084981939246548, 'i_e_weight': 11.21380120082841, 'i_frequency': 17.47064307012582, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1596,0.992862503357089,0.9928057553956835,138,1
1,0.992800500408529,"{'attractor_size': 64, 'background_activity': 12.191936954540727, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.707340795806, 'e_i_weight': 1.6401911464149999, 'i_e_weight': 18.27023989752581, 'i_frequency': 19.06432523874319, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1,0.9991958607730063,0.9864864864864865,146,2
1849,0.9925449331722692,"{'attractor_size': 64, 'background_activity': 14.297266663788422, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.71273541084956, 'e_i_weight': 1.9722577464417057, 'i_e_weight': 17.734510128852985, 'i_frequency': 20.631827741186132, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1849,0.9963548475128878,0.9887640449438202,176,2
1417,0.9924854026883281,"{'attractor_size': 64, 'background_activity': 13.68808566211961, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.7377431321056, 'e_i_weight': 2.1687031336599825, 'i_e_weight': 17.12224618773971, 'i_frequency': 21.031136054393723, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1417,0.9850829013659494,1.0,158,0
1286,0.9924274324996006,"{'attractor_size': 64, 'background_activity': 10.75882588137765, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.33551069098304, 'e_i_weight': 1.8468316194191214, 'i_e_weight': 15.020355861227344, 'i_frequency': 19.51826916143768, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1286,0.9916129608055181,0.9932432432432432,147,1
842,0.9921914554924879,"{'attractor_size': 64, 'background_activity': 10.843775959999807, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.625132570723263, 'e_i_weight': 1.7421588222958715, 'i_e_weight': 16.446048045041785, 'i_frequency': 18.993753410529, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",842,0.9845039128710148,1.0,152,0
205,0.9920188831983664,"{'attractor_size': 64, 'background_activity': 10.02601327638091, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.841834057715754, 'e_i_weight': 3.586902611010889, 'i_e_weight': 10.270940626952818, 'i_frequency': 21.473726506889275, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",205,0.9941478755920975,0.98989898989899,98,1
1267,0.9919652216340479,"{'attractor_size': 64, 'background_activity': 11.249574137350958, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.582760850279918, 'e_i_weight': 3.8685368239089843, 'i_e_weight': 13.012823272738789, 'i_frequency': 20.970766409965197, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1267,0.9945824796914601,0.9893617021276596,186,2
806,0.9918073907987713,"{'attractor_size': 64, 'background_activity': 14.309479353804099, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.431982301756634, 'e_i_weight': 1.880043413935674, 'i_e_weight': 12.247606603563023, 'i_frequency': 23.8828343331774, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",806,0.9919481548759355,0.9916666666666667,119,1
741,0.9916014823499849,"{'attractor_size': 64, 'background_activity': 11.731064676039056, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 8.871759464240789, 'e_i_weight': 1.7810283837957277, 'i_e_weight': 14.205172479130137, 'i_frequency': 21.651225609688385, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",741,0.9947839558938073,0.9884393063583815,171,2
1888,0.9915577551777657,"{'attractor_size': 64, 'background_activity': 10.263963023316204, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.880470071578344, 'e_i_weight': 4.401633809748348, 'i_e_weight': 13.901011612871516, 'i_frequency': 18.645554125993268, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1888,0.9992325058330008,0.984,123,2
878,0.9913633943538891,"{'attractor_size': 64, 'background_activity': 17.06523088913898, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.045144250113466, 'e_i_weight': 2.348848675676514, 'i_e_weight': 19.52162916822237, 'i_frequency': 18.15669209096291, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",878,0.9828746932289284,1.0,149,0
624,0.9912534878551745,"{'attractor_size': 64, 'background_activity': 15.923916748208597, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.53557519237714, 'e_i_weight': 2.593516303847597, 'i_e_weight': 15.063739188533074, 'i_frequency': 21.963993034281675, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",624,0.9826586520210545,1.0,127,0
268,0.9912349270679687,"{'attractor_size': 64, 'background_activity': 10.031350680566279, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.756504627243961, 'e_i_weight': 2.05356347418607, 'i_e_weight': 9.070601754982507, 'i_frequency': 22.359034736825855, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",268,0.9898809704928857,0.9925925925925926,134,1
1049,0.9909409339842277,"{'attractor_size': 64, 'background_activity': 14.856890814430411, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.899293456425166, 'e_i_weight': 0.9521601485372695, 'i_e_weight': 18.81680133790871, 'i_frequency': 20.33028222856728, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1049,0.9997343227475675,0.9823008849557522,111,2
1510,0.9909176404005874,"{'attractor_size': 64, 'background_activity': 18.577423199088646, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.759662248550015, 'e_i_weight': 1.6356823020301743, 'i_e_weight': 18.05910121887428, 'i_frequency': 21.50247935297186, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1510,0.9926521425737611,0.9891891891891892,183,2
1326,0.9909029839474586,"{'attractor_size': 64, 'background_activity': 12.655564184882284, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.122093610050438, 'e_i_weight': 1.7329410903060967, 'i_e_weight': 17.614821499453786, 'i_frequency': 19.31304440564953, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1326,0.9959411923523582,0.9859154929577465,140,2
818,0.9906034810443466,"{'attractor_size': 64, 'background_activity': 11.924633866943475, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.05829846296645, 'e_i_weight': 2.8466784763045476, 'i_e_weight': 15.699858269409457, 'i_frequency': 20.16837617424259, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",818,0.9939685231569575,0.9872611464968153,155,2
662,0.9905325549368011,"{'attractor_size': 64, 'background_activity': 12.489010898818727, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.31303011872916, 'e_i_weight': 1.801367137914415, 'i_e_weight': 12.821670077115366, 'i_frequency': 22.987774276666073, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",662,0.9999924117505168,0.98125,157,3
978,0.9904194245996261,"{'attractor_size': 64, 'background_activity': 11.786402560553583, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.89727968050027, 'e_i_weight': 4.030642369123539, 'i_e_weight': 11.513645281935688, 'i_frequency': 21.49053234333709, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",978,0.981020681986528,1.0,169,0
1937,0.9904175781264621,"{'attractor_size': 64, 'background_activity': 12.71438010136813, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.33499148110572, 'e_i_weight': 3.7808978021688886, 'i_e_weight': 13.18232848796829, 'i_frequency': 20.544088100329557, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1937,0.9871462188050145,0.9937106918238994,158,1
903,0.9903778067015659,"{'attractor_size': 64, 'background_activity': 12.834752899248269, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 17.805865295508013, 'e_i_weight': 1.6292929146148292, 'i_e_weight': 17.30834695208262, 'i_frequency': 18.93851961656638, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",903,0.9917484075169838,0.989010989010989,180,2
955,0.9903515402058883,"{'attractor_size': 64, 'background_activity': 14.559731544247574, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.190163669668074, 'e_i_weight': 1.408999363184955, 'i_e_weight': 16.256150338562783, 'i_frequency': 21.332035646947343, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",955,0.9933797140491869,0.9873417721518988,156,2
578,0.9901942684140552,"{'attractor_size': 64, 'background_activity': 12.482562088095078, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.641427790098778, 'e_i_weight': 1.5926588818650715, 'i_e_weight': 17.05210018782653, 'i_frequency': 18.63903803911769, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",578,0.9875456395917013,0.9928571428571429,139,1
1087,0.9901411549874912,"{'attractor_size': 64, 'background_activity': 11.035264036460143, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.611160891976535, 'e_i_weight': 1.3830715881008742, 'i_e_weight': 15.790702185769911, 'i_frequency': 19.56855792050716, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1087,0.9804748058380642,1.0,169,0
913,0.9901019501921324,"{'attractor_size': 64, 'background_activity': 14.144739438403144, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.410147660013692, 'e_i_weight': 1.5305276704626563, 'i_e_weight': 19.049931125101242, 'i_frequency': 19.995144048909832, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",913,0.987678508875022,0.9925373134328358,133,1
929,0.9898680301597601,"{'attractor_size': 64, 'background_activity': 14.156940039536119, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.537829018315882, 'e_i_weight': 2.079786305405025, 'i_e_weight': 17.60053768068691, 'i_frequency': 21.074725083998054, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",929,0.9799393145791786,1.0,151,0
1298,0.9898078877358265,"{'attractor_size': 64, 'background_activity': 10.365818517303186, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.701525725801993, 'e_i_weight': 2.6874151824479786, 'i_e_weight': 17.65566053275746, 'i_frequency': 17.368501421666913, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1298,0.9850670343716523,0.9945945945945946,184,1
939,0.9896123642989613,"{'attractor_size': 64, 'background_activity': 13.494147079071997, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 19.678537466012745, 'e_i_weight': 2.1150243698469273, 'i_e_weight': 16.29743245084409, 'i_frequency': 19.81785272494106, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",939,0.9871733188652446,0.9920634920634921,125,1
1775,0.9896064119093674,"{'attractor_size': 64, 'background_activity': 17.28111065664437, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.962194522038232, 'e_i_weight': 3.5368489386138733, 'i_e_weight': 10.529615857620538, 'i_frequency': 16.916948407847748, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1775,0.9794266546954764,1.0,176,0
1535,0.9890142228778949,"{'attractor_size': 64, 'background_activity': 14.297229334807547, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.534281447184663, 'e_i_weight': 3.7712993119634457, 'i_e_weight': 15.15590998033651, 'i_frequency': 15.024797762987475, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1535,0.9782671974805075,1.0,163,0
320,0.9890019154848434,"{'attractor_size': 64, 'background_activity': 18.367316897696988, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.965132964429785, 'e_i_weight': 1.9267096807388762, 'i_e_weight': 11.884541682864231, 'i_frequency': 24.46728397928617, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",320,0.9842609053673064,0.9937888198757764,160,1
1939,0.9889342248090544,"{'attractor_size': 64, 'background_activity': 12.347234828085403, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.144815665025128, 'e_i_weight': 3.9419516318388537, 'i_e_weight': 13.318331546074155, 'i_frequency': 20.37277956364204, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1939,0.9900661568652325,0.9878048780487805,162,2
813,0.9887073516474517,"{'attractor_size': 64, 'background_activity': 11.54500253301837, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.76509690694447, 'e_i_weight': 2.248176563605531, 'i_e_weight': 16.000191281319356, 'i_frequency': 19.660130994835455, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",813,0.9776669031047647,1.0,147,0
1956,0.9886639578961021,"{'attractor_size': 64, 'background_activity': 11.059421316285226, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.235653460668658, 'e_i_weight': 3.842421194932514, 'i_e_weight': 19.02646595154794, 'i_frequency': 16.662603568040588, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1956,0.977582046655204,1.0,157,0
1316,0.9885712901234607,"{'attractor_size': 64, 'background_activity': 12.858036683741982, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 18.989402381573733, 'e_i_weight': 1.967533110206415, 'i_e_weight': 18.709477450549443, 'i_frequency': 19.00872511419931, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1316,0.977400859269786,1.0,174,0
1843,0.9884195945165399,"{'attractor_size': 64, 'background_activity': 15.193696728553968, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 11.085952794451416, 'e_i_weight': 3.2207863423319125, 'i_e_weight': 17.565130423799488, 'i_frequency': 15.87362508520852, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1843,0.982960764437649,0.9939393939393939,164,1
1016,0.9881163604545323,"{'attractor_size': 64, 'background_activity': 12.218917531484543, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 16.316732483958265, 'e_i_weight': 3.598286658163472, 'i_e_weight': 13.26818508305732, 'i_frequency': 20.127991545787857, 'network_size': 256, 'num_attractors': 3, 'num_cues': 10}",1016,0.9819601166110263,0.9943502824858758,176,1
