,score,true_states,pred_states,params,iteration
1872,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 13.136771636542873, 'cue_length': 0.5432493681761659, 'cue_percentage': 100, 'delay_A2GO': 2.727035283207328, 'delay_gap_A2B': 0.11221666599615598, 'e_e_max_weight': 12.927113128442842, 'e_i_weight': 4.639418595108458, 'i_e_weight': 19.560198358726442, 'i_frequency': 16.840515006498453, 'thr_GO_state': -50.06218449817617, 'w_acpt': 6.932863149211942, 'w_trans': 7.704922244072884}",1872
1559,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 14.953619904155095, 'cue_length': 0.6404073023618433, 'cue_percentage': 100, 'delay_A2GO': 2.9639026290288943, 'delay_gap_A2B': 0.04379012580813783, 'e_e_max_weight': 6.643023067455714, 'e_i_weight': 6.042993234348859, 'i_e_weight': 10.06118544322964, 'i_frequency': 11.172170931515328, 'thr_GO_state': -51.24652039050895, 'w_acpt': 7.343564560374605, 'w_trans': 11.973587103612129}",1559
1716,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 13.657459157985297, 'cue_length': 0.5674420918218622, 'cue_percentage': 100, 'delay_A2GO': 2.909251999086775, 'delay_gap_A2B': 0.09440756477840345, 'e_e_max_weight': 12.825717085435862, 'e_i_weight': 4.841169989101228, 'i_e_weight': 18.581423587300538, 'i_frequency': 15.02802429603415, 'thr_GO_state': -49.73783398279781, 'w_acpt': 6.655305784121196, 'w_trans': 7.6723092447040635}",1716
1877,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 10.478741570510934, 'cue_length': 0.5329038992434598, 'cue_percentage': 100, 'delay_A2GO': 2.999161111327933, 'delay_gap_A2B': 0.03567544425415562, 'e_e_max_weight': 15.658297781597053, 'e_i_weight': 3.870989462897869, 'i_e_weight': 12.608789807674565, 'i_frequency': 19.13968212137874, 'thr_GO_state': -50.73321924180482, 'w_acpt': 5.097533469982517, 'w_trans': 5.733107727485756}",1877
987,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 12.461146301158953, 'cue_length': 0.5784449471238419, 'cue_percentage': 100, 'delay_A2GO': 2.95487133803851, 'delay_gap_A2B': 0.05247648440931046, 'e_e_max_weight': 14.64559227192383, 'e_i_weight': 4.9161652752317515, 'i_e_weight': 17.97414316406535, 'i_frequency': 10.13323116325402, 'thr_GO_state': -49.17262341089874, 'w_acpt': 6.151758516839594, 'w_trans': 12.376726863651758}",987
1552,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 13.808201622955957, 'cue_length': 0.5916214632890632, 'cue_percentage': 100, 'delay_A2GO': 2.969067656964879, 'delay_gap_A2B': 0.13325080480581725, 'e_e_max_weight': 11.339024719952096, 'e_i_weight': 5.678695183880387, 'i_e_weight': 16.424326776084317, 'i_frequency': 10.875300805787433, 'thr_GO_state': -49.93478261399317, 'w_acpt': 6.83660207604393, 'w_trans': 8.36373474650601}",1552
1105,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 10.605887016786752, 'cue_length': 0.5381829414512418, 'cue_percentage': 100, 'delay_A2GO': 2.766182143191113, 'delay_gap_A2B': 0.061615448456210115, 'e_e_max_weight': 14.985671908037938, 'e_i_weight': 4.432799479564026, 'i_e_weight': 19.76071273813807, 'i_frequency': 20.402870968689882, 'thr_GO_state': -49.13643556182546, 'w_acpt': 6.685778692895487, 'w_trans': 6.5089088319005866}",1105
1385,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 12.399155056540364, 'cue_length': 0.5876536510708426, 'cue_percentage': 100, 'delay_A2GO': 2.8958240574182676, 'delay_gap_A2B': 0.06726196441373727, 'e_e_max_weight': 11.914899582194877, 'e_i_weight': 4.805240242450376, 'i_e_weight': 19.302731594361905, 'i_frequency': 14.867747033507861, 'thr_GO_state': -49.592437935316596, 'w_acpt': 6.882751318494175, 'w_trans': 8.512108544126926}",1385
1664,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 10.679632677727035, 'cue_length': 0.538677397323696, 'cue_percentage': 100, 'delay_A2GO': 2.867613834192631, 'delay_gap_A2B': 0.025959539851899638, 'e_e_max_weight': 13.708300672643078, 'e_i_weight': 5.260760869708095, 'i_e_weight': 12.623397339128557, 'i_frequency': 19.511785587615677, 'thr_GO_state': -50.2139731968923, 'w_acpt': 6.8402421557660045, 'w_trans': 7.1236500139726155}",1664
1600,1.0,"['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","['A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A']","{'background_activity': 12.984354398623525, 'cue_length': 0.5863156568212325, 'cue_percentage': 100, 'delay_A2GO': 2.7959667772262287, 'delay_gap_A2B': 0.09779545574559814, 'e_e_max_weight': 12.0169038530026, 'e_i_weight': 4.5987726106828575, 'i_e_weight': 18.981419353033978, 'i_frequency': 14.881683850890225, 'thr_GO_state': -49.85820904914055, 'w_acpt': 6.897947936838612, 'w_trans': 10.190398155254957}",1600
