,score,params,iteration,recall,accuracy,triggered,spontaneous
1603,1.3490583038960968,"{'attractor_size': 64, 'background_activity': 13.990088956672176, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.57745499455242, 'e_i_weight': 4.549656759155665, 'i_e_weight': 5.252068418476365, 'i_frequency': 10.561367441485844, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1603,2.08798176879964,0.9964285714285714,279,1
606,1.348983151119017,"{'attractor_size': 64, 'background_activity': 13.240645826286817, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.25945575028731, 'e_i_weight': 4.878328509096081, 'i_e_weight': 5.7054956706329065, 'i_frequency': 10.015104571545617, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",606,2.085413171973701,0.9969325153374233,325,1
1082,1.3485080033066257,"{'attractor_size': 64, 'background_activity': 12.7394415533904, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.202064059138467, 'e_i_weight': 5.142222079133399, 'i_e_weight': 5.274344634217735, 'i_frequency': 10.516228911073622, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1082,2.0974412720926088,0.9936908517350158,315,2
917,1.3484106959794686,"{'attractor_size': 64, 'background_activity': 12.689057346629617, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 13.821272762304456, 'e_i_weight': 5.006196374828696, 'i_e_weight': 5.267660712804339, 'i_frequency': 10.557143168836932, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",917,2.0837441338397307,0.9966887417218543,301,1
1299,1.3480009447880887,"{'attractor_size': 64, 'background_activity': 13.626040979344651, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.522282511122409, 'e_i_weight': 4.687550167322838, 'i_e_weight': 5.524918784579337, 'i_frequency': 10.568467680513308, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1299,2.091716565343818,0.9944289693593314,357,2
1942,1.347956071160606,"{'attractor_size': 64, 'background_activity': 13.711448228886859, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.965889077751271, 'e_i_weight': 4.723705864459172, 'i_e_weight': 5.581187371075176, 'i_frequency': 10.46093763529565, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1942,2.0793527226308464,0.9971988795518207,356,1
1154,1.3478303605267619,"{'attractor_size': 64, 'background_activity': 15.144975594184515, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.963553939061082, 'e_i_weight': 4.825461605903901, 'i_e_weight': 5.740377161466475, 'i_frequency': 10.000810533664081, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1154,2.0844883508371814,0.9958847736625515,242,1
1499,1.3477782656089219,"{'attractor_size': 64, 'background_activity': 14.741004195661764, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 12.295812072741027, 'e_i_weight': 4.205000280337575, 'i_e_weight': 6.040859168481219, 'i_frequency': 10.006020495035784, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1499,2.066441816550661,1.0,299,0
1475,1.3473995384046296,"{'attractor_size': 64, 'background_activity': 15.862004119242798, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 14.07446234030171, 'e_i_weight': 4.35969536492919, 'i_e_weight': 5.0217695278644525, 'i_frequency': 11.23659033347075, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1475,2.064662251556992,1.0,283,0
1602,1.3472843149072182,"{'attractor_size': 64, 'background_activity': 13.571762932204596, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 10.79479156936051, 'e_i_weight': 4.794375816454416, 'i_e_weight': 5.516757251515632, 'i_frequency': 10.622447943960124, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1602,2.0749918954777553,0.9974683544303797,394,1
1091,1.3471270104612358,"{'attractor_size': 64, 'background_activity': 13.458799906029025, 'cue_length': 1, 'cue_percentage': 100, 'e_e_max_weight': 9.64991783230532, 'e_i_weight': 4.973514644848452, 'i_e_weight': 5.893550360991986, 'i_frequency': 10.004968398497619, 'network_size': 256, 'num_attractors': 8, 'num_cues': 10}",1091,2.0633829734830074,1.0,318,0
